base_letter,variant,source_languages,has_sequence,notes
А,А̄,tin,0,
А,Ӑ,chv,0,
А,Ӓ,"mhr,mrj",0,
А,Ӕ,oss,0,
А,Ә,xdq,0,
Г,Ґ,"rom,ukr",0,
Г,Ғ,"bak,kaz,kjh,krc,tgk,uzb,xdq",0,
Г,Ҕ,sah,0,
Г,Ӷ,abk,0,
Е,Ё,"bak,chv,lez,tgk",0,
Е,Є,ukr,0,
Е,Е̄,tin,0,
Е,Ѣ,chu,0,
Е,Ӗ,chv,0,
Ж,Ѥ,chu,0,
Ж,Җ,"krc,sty,tat,xal",0,
Ж,Ӂ,ron,0,
Ж,Ӝ,udm,0,
З,Ҙ,bak,0,
З,Ӟ,udm,0,
З,Ӡ,abk,0,
И,І,"bel,chu,kaz,kjh,koi,kpv,ukr",0,
И,Ӣ,"tgk,tin",0,
И,Ӥ,udm,0,
Й,Ї,ukr,0,
Й,Ј,"alt,atv",0,
Й,Ѵ,chu,0,
К,Ѯ,chu,0,
К,Қ,"abk,kaz,krc,tgk,uzb",0,
К,Ҟ,abk,0,
К,Ҡ,"bak,xdq",0,
Л,Ӆ,yrk,0,
Н,Ң,"bak,kaz,kir,kjh,krc,sty,tat,tyv,xal",0,
Н,Ҥ,"alt,atv,mhr,sah",0,
Н,Ӈ,"dlg,yrk",0,
Н,ᵸ,"akv,tin",0,
О,О̄,tin,0,
О,Ѡ,chu,0,
О,Ӧ,"alt,atv,kjh,koi,kpv,mhr,mrj,udm",0,
О,Ө,"bak,bua,dlg,kaz,kir,sah,sty,tat,tyv,xal",0,
П,Ѱ,chu,0,
П,Ԥ,abk,0,
С,С̄,tin,0,
С,Ҫ,"bak,chv",0,
Т,Ҭ,abk,0,
У,Ў,"bel,uzb",0,
У,Ү,"bak,bua,dlg,kaz,kir,sah,sty,tat,tyv,xal",0,
У,Ұ,kaz,0,
У,Ӯ,"tgk,tin",0,
У,Ӱ,"alt,atv,kjh,mhr,mrj,tsudaqar",0,
У,Ӳ,chv,0,
Ф,Ѳ,chu,0,
Х,Ҳ,"abk,tgk,uzb,xdq",0,
Х,Һ,"bak,bua,dlg,kaz,sah,sty,tat,xal",0,
Ц,Ҵ,abk,0,
Ч,Ҷ,"abk,tgk",0,
Ч,Ӌ,kjh,0,
Ч,Ӵ,udm,0,
Ш,Ҽ,abk,0,
Ш,Ҿ,abk,0,
Ы,Ӹ,"mhr,mrj",0,
Ь,Ѫ,chu,0,
Ь,Һ,xdq,0,
Ь,Ӏ,"abq,agx,akv,ani,ava,che,dar,inh,kbd,kpt,lbe,lez,rut,tab,tin,tsudaqar,xdq",0,
Э,Ә,"abk,bak,kaz,sty,tat,xal",0,
Э,Ӭ,yrk,0,
Ю,Ѭ,chu,0,
Ю,Ҩ,abk,0,
Я,Џ,abk,0,
Я,Ѧ,chu,0,
